rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/explained_variance,train/approx_kl,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/loss,train/policy_gradient_loss
14.74,173.03568947000002,2,15360,60,5241,0.45699805,0.011389778,0.10390625,-1.4541532427072525,0.2,1375.6094261169433,0.0003,590,680.9143676757812,-0.018241302482783793
14.74,172.90116729000002,2,15616,61,5321,0.46337575,0.0032801274,0.003125,-1.4096664428710937,0.2,1638.0865341186523,0.0003,600,1180.319091796875,-0.001926687266677618
14.79,174.62306921999996,2,15872,62,5401,0.45726144,0.020855349,0.0921875,-1.347603541612625,0.2,1274.6377769470214,0.0003,610,377.2608337402344,-0.012915451731532811
14.79,174.05658693,2,16128,63,5481,0.45636046,0.009153716,0.05546875,-1.3132564276456833,0.2,1277.3349685668945,0.0003,620,461.36944580078125,-0.008419023547321557
14.79,173.34027520000004,2,16384,64,5563,0.40274262,0.0010657231,0.00390625,-1.2882238239049912,0.2,1181.9007202148437,0.0003,630,508.8354797363281,-0.0024126579519361258
14.86,173.73524156000002,2,16640,65,5646,0.45873654,0.004219047,0.016015625,-1.3464788347482681,0.2,1145.0885818481445,0.0003,640,659.3755493164062,-0.0037734085693955422
14.98,173.61956462000006,2,16896,66,5728,0.4244961,0.00033819862,0.0,-1.2998951107263566,0.2,1339.2331710815429,0.0003,650,537.99755859375,-0.0011343090794980527
14.91,173.68952517000002,2,17152,67,5808,0.45181906,0.009985052,0.0265625,-1.3555382430553435,0.2,1154.269271850586,0.0003,660,440.8498840332031,-0.008801808976568282
14.8,171.43117532999997,2,17408,68,5889,0.46958357,0.0035166459,0.000390625,-1.4234981477260589,0.2,1303.3350799560546,0.0003,670,694.4343872070312,-0.003635063604451716
14.69,172.08209146000002,2,17664,69,5971,0.34884006,0.00050448,0.0,-1.394522026181221,0.2,1659.9881408691406,0.0003,680,645.2258911132812,-0.0019652035320177675
14.69,173.28076901000003,2,17920,70,6052,0.47566652,0.035844725,0.2515625,-1.3248198211193085,0.2,1134.7221042633057,0.0003,690,568.937744140625,-0.02109012524597347
14.71,172.72029356999997,2,18176,71,6134,0.462322,0.0017182413,0.0,-1.1815015435218812,0.2,1173.9617584228515,0.0003,700,773.44580078125,-0.002587707666680217
